P 3.1099, -65.8279, -28.9368,  0, 127, 0,  3,  to_Brother_Island
L 196.1725, 143.6017, 41.6253,  192.4654, 139.8748, 41.6223,  240, 127, 0
L 84.9188, 139.8750, 41.6242,  192.4645, 139.8746, 41.6186,  240, 127, 0
L 84.9218, 139.8753, 41.6111,  81.1928, 143.6026, 41.6246,  240, 127, 0
L 81.1928, 143.6026, 41.6246,  81.1928, 281.5280, 41.6154,  240, 127, 0
L 81.1927, 281.5292, 41.6201,  84.9205, 285.2561, 41.6240,  240, 127, 0
L 84.9205, 285.2561, 41.6240,  192.4688, 285.2559, 41.6278,  240, 127, 0
L 192.4688, 285.2559, 41.6278,  196.1932, 281.5292, 41.6218,  240, 127, 0
L 196.1932, 281.5292, 41.6218,  196.3283, 274.3835, 41.5160,  240, 127, 0
L 196.3283, 274.3835, 41.5160,  203.2547, 274.2398, 40.9654,  240, 127, 0
L 203.2547, 274.2398, 40.9654,  203.3180, 341.2085, 49.1875,  240, 127, 0
L 203.3180, 341.2085, 49.1875,  222.5811, 341.2277, 49.1876,  240, 127, 0
L 222.5811, 341.2277, 49.1876,  222.5072, 376.9866, 47.6801,  240, 127, 0
L 222.5072, 376.9866, 47.6801,  210.3542, 377.1795, 47.7364,  240, 127, 0
L 210.4812, 367.4275, 48.8759,  210.3542, 377.1795, 47.7364,  240, 127, 0
L 210.4812, 367.4277, 48.8757,  206.3608, 363.3129, 48.8753,  240, 127, 0
L 206.3608, 363.3129, 48.8753,  200.7920, 363.3188, 48.8644,  240, 127, 0
L 200.7920, 363.3188, 48.8644,  200.8040, 365.3120, 47.9821,  240, 127, 0
L 200.8040, 365.3120, 47.9821,  194.1310, 364.9674, 47.1848,  240, 127, 0
L 194.1310, 364.9674, 47.1848,  194.1192, 363.1227, 47.1848,  240, 127, 0
L 194.1192, 363.1227, 47.1848,  197.1870, 363.1653, 47.1848,  240, 127, 0
L 197.1870, 363.1653, 47.1848,  196.5369, 313.7914, 42.2085,  240, 127, 0
L 196.5369, 313.7914, 42.2085,  192.4215, 309.6768, 42.2096,  240, 127, 0
L 192.4215, 309.6768, 42.2096,  84.8369, 309.6782, 42.2072,  240, 127, 0
L 84.8369, 309.6782, 42.2072,  80.7220, 313.7916, 42.2098,  240, 127, 0
L 80.7220, 313.7916, 42.2098,  80.3710, 363.3260, 47.1848,  240, 127, 0
L 80.3710, 363.3260, 47.1848,  76.4695, 363.3670, 48.8766,  240, 127, 0
L 76.4695, 363.3670, 48.8766,  70.8944, 363.3670, 48.8761,  240, 127, 0
L 70.8944, 363.3670, 48.8761,  66.7796, 367.4818, 48.8768,  240, 127, 0
L 66.7259, 386.3065, 47.7364,  66.7913, 367.4818, 48.8541,  240, 127, 0
L 48.7379, 386.1308, 47.7601,  66.7259, 386.3065, 47.7004,  240, 127, 0
L 46.8391, 386.1458, 49.2588,  -56.3659, 386.1413, 41.8733,  240, 127, 0
L -56.3659, 386.1413, 41.8733,  -56.2490, 377.5785, 41.8733,  240, 127, 0
L -124.4966, 279.6970, 42.4363,  -96.4972, 279.4410, 42.3307,  127, 127, 127
L -96.4972, 279.4410, 42.3307,  -96.6303, 270.4875, 42.3536,  127, 127, 127
L -96.6316, 270.4868, 42.3530,  -93.8305, 270.6700, 42.3245,  127, 127, 127
L -93.8305, 270.6700, 42.3245,  -93.6400, 264.2581, 42.3652,  127, 127, 127
L -93.6400, 264.2581, 42.3652,  -107.2284, 264.2613, 44.9550,  127, 127, 127
L -107.2284, 264.2613, 44.9550,  -107.2279, 233.9377, 43.1580,  127, 127, 127
L -107.2279, 233.9377, 43.1580,  -75.3452, 233.9369, 43.1685,  127, 127, 127
L -75.3452, 233.9369, 43.1685,  -75.4519, 244.5576, 42.3721,  127, 127, 127
L -75.4519, 244.5576, 42.3721,  -57.7051, 244.6793, 42.3355,  127, 127, 127
L -57.7051, 244.6793, 42.3355,  -57.7124, 310.3863, 42.3213,  127, 127, 127
L -57.7124, 310.3863, 42.3213,  -57.7124, 310.3863, 42.3213,  127, 127, 127
L -57.7124, 310.3863, 42.3213,  -63.3235, 310.4146, 42.3207,  127, 127, 127
L -70.6529, 302.9900, 41.5559,  -70.6529, 302.9900, 42.3340,  127, 127, 127
L -70.6529, 302.9900, 42.3340,  -64.9534, 303.1350, 42.3365,  127, 127, 127
L -64.9534, 303.1350, 42.3365,  -64.5306, 254.8901, 42.3350,  127, 127, 127
L -64.5306, 254.8901, 42.3350,  -75.2233, 254.7802, 42.3699,  127, 127, 127
L -75.2233, 254.7802, 42.3699,  -75.3442, 265.8206, 43.1587,  127, 127, 127
L -75.3442, 265.8206, 43.1587,  -86.5300, 265.7228, 42.3633,  127, 127, 127
L -86.5300, 265.7228, 42.3633,  -86.2900, 287.8809, 42.3241,  127, 127, 127
L -86.2900, 287.8809, 42.3241,  -125.1881, 287.8772, 42.3275,  127, 127, 127
L -70.6976, 302.9909, 40.7993,  -70.7027, 326.9823, 40.7993,  127, 127, 127
L -70.7027, 326.9823, 40.7993,  -54.8282, 326.9148, 40.8008,  127, 127, 127
L -54.8282, 326.9148, 40.8008,  -54.9316, 375.3767, 41.7045,  127, 127, 127
L -54.9316, 375.3767, 41.7045,  -50.8222, 379.4886, 41.7094,  127, 127, 127
L -50.8222, 379.4886, 41.7094,  56.3303, 379.4832, 41.6993,  127, 127, 127
L 56.3303, 379.4832, 41.6993,  60.4423, 375.3763, 41.7100,  127, 127, 127
L 60.4423, 375.3763, 41.7100,  60.4423, 268.2230, 41.7105,  127, 127, 127
L 60.4423, 268.2230, 41.7105,  56.3297, 264.1118, 41.7098,  127, 127, 127
L 56.3297, 264.1118, 41.7098,  -50.8228, 264.1123, 41.7092,  127, 127, 127
L -50.8228, 264.1123, 41.7092,  -54.9352, 268.2234, 41.7111,  127, 127, 127
L -54.9352, 268.2234, 41.7111,  -54.7897, 317.8068, 40.8006,  127, 127, 127
L -54.7897, 317.8068, 40.8006,  -63.4142, 317.7787, 40.7993,  127, 127, 127
L -63.4142, 317.7787, 40.7993,  -63.3235, 310.4146, 40.7993,  127, 127, 127
L -7.6632, 284.4257, 41.8850,  -45.6430, 284.4900, 71.8157,  240, 240, 240
L -45.6430, 284.4900, 71.8157,  -45.9643, 370.4739, 71.8011,  240, 240, 240
L -45.9643, 370.4739, 71.8011,  51.5910, 370.4485, 71.8157,  240, 240, 240
L 51.5910, 370.4485, 71.8157,  51.4769, 367.3530, 71.8157,  240, 240, 240
L 51.4769, 367.3530, 71.8157,  14.1692, 367.4057, 41.3727,  240, 240, 240
L 13.5297, 359.2964, 40.8220,  51.6238, 359.1548, 71.8157,  240, 240, 240
L 51.6238, 359.1548, 71.8157,  51.4767, 272.4940, 71.8157,  240, 240, 240
L 51.4767, 272.4940, 71.8157,  -45.4872, 272.4855, 71.8157,  240, 240, 240
L -45.4872, 272.4855, 71.8157,  -45.3881, 276.8530, 71.8157,  240, 240, 240
L -45.3881, 276.8530, 71.8157,  -7.9745, 276.1802, 41.3566,  240, 240, 240
L -53.4600, 285.9603, 71.8157,  -53.3905, 374.8639, 71.8157,  240, 240, 240
L -53.3905, 374.8639, 71.8157,  -50.4990, 378.2900, 71.8157,  240, 240, 240
L -50.4990, 378.2900, 71.8157,  55.6880, 378.2762, 71.8157,  240, 240, 240
L 55.6880, 378.2762, 71.8157,  59.4722, 374.5638, 71.8157,  240, 240, 240
L 59.4722, 374.5638, 71.8157,  59.4632, 367.7613, 70.3157,  240, 240, 240
L 59.4632, 367.7613, 70.3157,  78.1213, 367.7835, 70.3242,  240, 240, 240
L 78.1213, 367.7835, 70.3242,  78.1950, 337.9331, 69.1389,  240, 240, 240
L 78.1950, 337.9331, 69.1389,  72.8183, 337.8668, 69.1389,  240, 240, 240
L 72.8183, 337.8668, 69.1389,  72.8636, 331.2210, 69.1389,  240, 240, 240
L 65.3242, 345.3294, 69.1389,  70.5611, 345.3815, 69.1389,  240, 240, 240
L 70.5611, 345.3815, 69.1389,  70.6127, 358.1358, 70.3242,  240, 240, 240
L 70.6127, 358.1358, 70.3242,  59.2571, 358.1431, 70.3157,  240, 240, 240
L 59.2571, 358.1431, 70.3157,  59.4200, 267.8308, 71.8157,  240, 240, 240
L 59.4200, 267.8308, 71.8157,  56.9097, 265.3707, 71.8157,  240, 240, 240
L 56.9097, 265.3707, 71.8157,  8.9036, 265.2601, 71.8158,  240, 240, 240
L 8.9036, 265.2601, 71.8158,  8.8940, 259.8299, 70.3158,  240, 240, 240
L 8.8940, 259.8299, 70.3158,  11.2520, 259.8297, 72.9947,  240, 240, 240
L 11.2520, 259.8297, 72.9947,  11.2327, 258.8235, 72.9947,  240, 240, 240
L 11.2327, 258.8235, 72.9947,  10.9314, 256.7443, 72.9947,  240, 240, 240
L 10.9314, 256.7443, 72.9947,  10.2689, 255.8670, 72.9947,  240, 240, 240
L 10.2689, 255.8670, 72.9947,  8.7512, 253.3960, 72.9947,  240, 240, 240
L 8.7512, 253.3960, 72.9947,  7.7420, 251.8293, 72.9947,  240, 240, 240
L 7.7420, 251.8293, 72.9947,  4.6974, 250.8163, 72.9947,  240, 240, 240
L 4.6974, 250.8163, 72.9947,  2.2940, 250.5685, 72.9947,  240, 240, 240
L 2.2940, 250.5685, 72.9947,  -0.8230, 250.6546, 72.9947,  240, 240, 240
L -0.1787, 250.6257, 72.9947,  -1.5470, 251.9800, 72.9947,  240, 240, 240
L -1.5470, 251.9800, 72.9947,  -3.1143, 252.6199, 72.9947,  240, 240, 240
L -3.1387, 252.6586, 72.9947,  -4.1980, 254.2908, 72.9947,  240, 240, 240
L -4.1980, 254.2908, 72.9947,  -4.3738, 255.9651, 72.9947,  240, 240, 240
L -4.3738, 255.9651, 72.9947,  -4.5987, 257.8625, 72.9942,  240, 240, 240
L -4.5987, 257.8625, 72.9942,  -4.6380, 260.3168, 72.9492,  240, 240, 240
L -4.6380, 260.3168, 72.9492,  -2.1295, 260.3373, 70.3158,  240, 240, 240
L -2.1295, 260.3373, 70.3158,  -2.1488, 265.9700, 70.3158,  240, 240, 240
L -2.1488, 265.9700, 70.3158,  -50.1563, 264.9343, 71.8157,  240, 240, 240
L -50.1563, 264.9343, 71.8157,  -53.4258, 268.1419, 71.8157,  240, 240, 240
L -53.4258, 268.1419, 71.8157,  -53.3466, 275.8211, 70.3161,  240, 240, 240
L -53.3466, 275.8211, 70.3161,  -71.7210, 275.5831, 70.3242,  240, 240, 240
L -71.6950, 275.4811, 70.3242,  -70.9271, 217.6110, 69.9090,  240, 240, 240
L -70.9271, 217.6110, 69.9090,  -70.9271, 217.6110, 69.9090,  240, 240, 240
L -70.9271, 217.6110, 69.9090,  -105.7061, 217.6100, 69.9090,  240, 240, 240
L -78.4377, 227.5320, 69.9090,  -78.3294, 285.9870, 70.3241,  240, 240, 240
L -78.3294, 285.9870, 70.3241,  -53.4600, 285.9603, 70.3157,  240, 240, 240
L -105.4411, 217.6170, 69.9090,  -114.5692, 217.8950, 69.1757,  240, 240, 240
L -114.5692, 217.8950, 69.1757,  -114.5562, 214.7504, 71.8567,  240, 240, 240
L -114.5459, 214.8134, 71.8567,  -115.5781, 214.9532, 71.8567,  240, 240, 240
L -115.5781, 214.9532, 71.8567,  -117.6640, 215.7170, 71.8567,  240, 240, 240
L -117.6640, 215.7170, 71.8567,  -119.4085, 217.2218, 71.8567,  240, 240, 240
L -119.4085, 217.2218, 71.8567,  -120.9312, 218.8600, 71.8567,  240, 240, 240
L -121.3545, 224.2220, 71.8567,  -120.2373, 226.7965, 71.8567,  240, 240, 240
L -120.2373, 226.7965, 71.8567,  -119.6520, 227.9242, 71.8567,  240, 240, 240
L -119.6520, 227.9242, 71.8567,  -117.6250, 229.1675, 71.8567,  240, 240, 240
L -117.6250, 229.1675, 71.8567,  -115.3660, 229.7778, 71.8567,  240, 240, 240
L -115.3660, 229.7778, 71.8567,  -114.4304, 229.7800, 71.8567,  240, 240, 240
L -114.4304, 229.7800, 71.8567,  -114.4996, 227.5157, 69.1757,  240, 240, 240
L -114.4996, 227.5157, 69.1757,  -78.4377, 227.5320, 69.9090,  240, 240, 240
L 65.3251, 345.3294, 69.1389,  65.3187, 321.2889, 69.1389,  240, 240, 240
L 65.3187, 321.2889, 69.1389,  81.3328, 321.2961, 69.1757,  240, 240, 240
L 81.3328, 321.2961, 69.1757,  81.3114, 319.1929, 69.1766,  240, 240, 240
L 81.3114, 319.1929, 69.1766,  84.5092, 319.2389, 71.8567,  240, 240, 240
L 84.5092, 319.2389, 71.8567,  86.8743, 321.8890, 71.8567,  240, 240, 240
L 86.8743, 321.8890, 71.8567,  88.7306, 323.9914, 71.8567,  240, 240, 240
L 88.7306, 323.9914, 71.8567,  89.5113, 326.7805, 71.8567,  240, 240, 240
L 89.5113, 326.7805, 71.8567,  89.6430, 329.3136, 71.8567,  240, 240, 240
L 89.6430, 329.3136, 71.8567,  87.4985, 331.3976, 71.8567,  240, 240, 240
L 87.4985, 331.3976, 71.8567,  85.3515, 333.1695, 71.8567,  240, 240, 240
L 85.3515, 333.1695, 71.8567,  83.5280, 333.7891, 71.8567,  240, 240, 240
L 83.5280, 333.7891, 71.8567,  81.3093, 333.8960, 71.8045,  240, 240, 240
L 81.3093, 333.8960, 71.8045,  81.2878, 331.2170, 69.1757,  240, 240, 240
L 81.2878, 331.2170, 69.1757,  72.8636, 331.2210, 69.1389,  240, 240, 240
L -4.1599, 279.8387, 19.1191,  -4.6820, 272.3759, 19.1191,  127, 64, 0
L -4.6820, 272.3759, 18.8097,  51.5133, 272.4868, 19.7120,  127, 64, 0
L 51.5133, 272.4868, 19.7120,  51.4759, 276.1671, 19.1155,  127, 64, 0
L 51.4759, 276.1671, 19.1155,  12.1168, 276.1021, -10.5780,  0, 0, 0
L 12.3604, 284.7040, -11.5521,  51.6291, 284.1927, 18.7237,  0, 0, 0
L 51.6291, 284.1927, 18.7237,  51.4780, 370.4404, 19.1104,  127, 64, 0
L 51.4780, 370.4404, 19.1104,  -45.9446, 370.4968, 19.1152,  127, 64, 0
L -45.9446, 370.4968, 19.1152,  -45.8905, 367.2178, 17.5661,  127, 64, 0
L -45.8905, 367.2178, 17.5661,  -7.9484, 367.3025, -12.2129,  0, 0, 0
L -7.8536, 359.5837, -13.4488,  -45.3960, 359.4961, 17.5662,  0, 0, 0
L -45.7755, 359.2538, 17.5661,  -46.5140, 273.1564, 17.5661,  127, 64, 0
L -21.8472, 162.7223, 19.9080,  -17.6037, 163.2259, 21.2926,  127, 64, 0
L -17.6037, 163.2259, 21.2926,  -13.6989, 164.3295, 23.5664,  127, 64, 0
L -13.6989, 164.3295, 23.5664,  -9.3466, 165.9856, 26.2027,  127, 64, 0
L -9.3466, 165.9856, 26.2027,  -0.2776, 169.7028, 31.6843,  127, 64, 0
L -0.2776, 169.7028, 31.6843,  4.4626, 172.8136, 35.3580,  127, 64, 0
L 4.4626, 172.8136, 35.3580,  9.8483, 177.9099, 36.8173,  127, 64, 0
L 9.8483, 177.9099, 36.8173,  13.3247, 183.5157, 42.8121,  127, 64, 0
L 13.3247, 183.5157, 42.8121,  15.8895, 187.1300, 43.2567,  127, 64, 0
L 15.8895, 187.1300, 43.2567,  16.7879, 191.3534, 43.2719,  127, 64, 0
L 16.7734, 191.2326, 43.2715,  16.7801, 208.7365, 43.2884,  127, 64, 0
L 16.7801, 208.7365, 43.2884,  -48.3141, 208.8098, 43.2884,  240, 127, 0
L -48.3141, 208.8098, 43.2884,  -48.3297, 210.9320, 43.2884,  240, 127, 0
L -66.4441, 211.2740, 40.9378,  -48.3297, 210.9320, 43.2884,  240, 127, 0
L -66.4441, 211.2740, 40.9378,  -66.3128, 161.6476, 40.9382,  240, 127, 0
L -66.3128, 161.6476, 40.9382,  -73.6251, 161.5745, 40.9744,  240, 127, 0
L -73.6251, 161.5745, 40.9744,  -73.6203, 171.4525, 41.9307,  240, 127, 0
L -73.6203, 171.4525, 41.9307,  -115.1690, 171.2960, 40.9536,  240, 127, 0
L -115.1690, 171.2960, 40.9536,  -115.1003, 207.8642, 40.9536,  240, 127, 0
L -115.1003, 207.8642, 40.9536,  -106.4333, 207.7470, 40.9397,  240, 127, 0
L -107.4470, 196.9354, 42.1484,  -107.3911, 208.1325, 41.5190,  240, 127, 0
L -107.4472, 196.8017, 42.1490,  -75.1255, 196.8012, 42.1480,  240, 127, 0
L -75.1255, 196.8012, 42.1480,  -75.1251, 229.1236, 42.1484,  240, 127, 0
L -75.1251, 229.1236, 42.1484,  -107.4468, 229.1234, 42.1482,  240, 127, 0
L -107.4468, 229.1234, 42.1482,  -107.4487, 217.7649, 41.5190,  240, 127, 0
L -107.4487, 217.7649, 41.5190,  -114.5986, 217.6710, 40.9536,  240, 127, 0
L -114.5986, 217.6710, 40.9536,  -114.6135, 265.2389, 40.9536,  240, 127, 0
L -114.6135, 265.2389, 40.9536,  -124.3562, 265.2964, 40.9536,  240, 127, 0
L -124.3562, 265.2964, 40.9536,  -124.3829, 288.9750, 40.9382,  240, 127, 0
L -124.3829, 288.9750, 40.9382,  -144.3460, 288.4483, 41.9943,  240, 127, 0
L -144.3460, 288.4483, 41.9943,  -143.8950, 297.3901, 42.2870,  240, 127, 0
L -143.8950, 297.3901, 42.2870,  -131.2640, 296.9705, 43.2032,  240, 127, 0
L -131.2640, 296.9705, 43.2032,  -131.9600, 308.6134, 41.5135,  240, 127, 0
L -92.5019, 308.5511, 41.9459,  -131.9600, 308.6134, 42.2900,  240, 127, 0
L -92.4932, 308.4109, 42.2222,  -92.6157, 364.8987, 41.9082,  240, 127, 0
L -92.6157, 364.8987, 41.9082,  -79.4247, 364.9395, 42.9305,  240, 127, 0
L -79.4247, 364.9395, 42.9305,  -79.3662, 377.4798, 41.9891,  240, 127, 0
L -56.2490, 377.5783, 41.8733,  -79.3662, 377.4798, 41.9082,  240, 127, 0
L -22.5107, 169.2760, 18.9024,  -16.3840, 170.1689, 23.1650,  127, 64, 0
L -16.3840, 170.1689, 23.1650,  -10.3780, 172.4856, 25.1206,  127, 64, 0
L -10.3780, 172.4856, 25.1206,  -4.6280, 175.5306, 31.7357,  127, 64, 0
L -4.6280, 175.5306, 31.7357,  1.8500, 179.3891, 36.1456,  127, 64, 0
L 1.8500, 179.3891, 36.1456,  5.5709, 184.6450, 37.9301,  127, 64, 0
L 5.5709, 184.6450, 37.9301,  9.7274, 190.8090, 43.2653,  127, 64, 0
L 9.7274, 190.8090, 43.2653,  10.5790, 192.2560, 43.2721,  127, 64, 0
L 10.5790, 192.2560, 43.2721,  10.7040, 202.4488, 43.2884,  127, 64, 0
L 10.7040, 202.4488, 43.2884,  -48.2451, 202.3151, 43.2884,  240, 127, 0
L -48.2451, 202.3151, 43.2884,  -48.2297, 200.4290, 43.2886,  240, 127, 0
L -48.2297, 200.4290, 43.2886,  -58.5155, 200.1451, 40.9378,  240, 127, 0
L -58.6452, 150.9618, 40.9382,  -58.5155, 200.1451, 40.9378,  240, 127, 0
L -58.6289, 150.9616, 40.9382,  -73.7824, 150.8439, 40.9744,  240, 127, 0
L -73.7824, 150.8439, 40.9744,  -73.8375, 141.3154, 41.5061,  240, 127, 0
L -73.8375, 141.3154, 41.5061,  -75.2798, 139.5210, 42.1488,  240, 127, 0
L -75.2798, 139.5210, 42.1488,  -85.6276, 139.5506, 40.9789,  240, 127, 0
L -85.6276, 139.5506, 40.9789,  -85.6203, 132.7399, 40.9397,  240, 127, 0
L -85.6203, 132.7399, 40.9397,  -74.8995, 132.8032, 41.9309,  240, 127, 0
L -74.8995, 132.8032, 41.9309,  -74.7993, 101.7099, 42.1480,  240, 127, 0
L -74.7993, 101.7099, 42.1480,  -107.1096, 101.7099, 42.1486,  240, 127, 0
L -107.1096, 101.7099, 42.1486,  -107.1093, 134.3170, 42.1484,  240, 127, 0
L -107.1089, 134.3210, 42.1488,  -95.6320, 134.1940, 41.5190,  240, 127, 0
L -95.6320, 134.1940, 41.5190,  -95.5328, 139.5114, 40.9789,  240, 127, 0
L -95.5328, 139.5114, 40.9789,  -122.5639, 139.5121, 42.1587,  240, 127, 0
L -122.5639, 139.5121, 42.1587,  -167.5927, 94.7867, 41.9857,  240, 127, 0
L -167.5927, 94.7867, 41.9857,  -174.3703, 100.3391, 40.9536,  240, 127, 0
L -174.3703, 100.3391, 40.9536,  -179.4420, 95.4877, 40.9750,  240, 127, 0
L -179.4420, 95.4877, 42.1867,  -173.8530, 82.1483, 42.1854,  240, 127, 0
L -173.8530, 82.1483, 42.1854,  -178.4992, 57.7252, 42.1856,  240, 127, 0
L -178.4992, 57.7252, 42.1856,  -191.9270, 45.1103, 42.1852,  240, 127, 0
L -191.9270, 45.1103, 42.1852,  -210.2164, 39.9776, 42.1854,  240, 127, 0
L -210.2164, 39.9776, 42.1854,  -227.2509, 44.4573, 42.2310,  240, 127, 0
L -227.2509, 44.4573, 42.2310,  -241.7780, 58.5030, 42.1829,  240, 127, 0
L -241.7780, 58.5030, 42.1829,  -246.7220, 75.7853, 42.1856,  240, 127, 0
L -246.7220, 75.7853, 42.1856,  -240.9551, 94.9131, 42.1856,  240, 127, 0
L -240.9551, 94.9131, 42.1856,  -228.3617, 107.5276, 42.1854,  240, 127, 0
L -228.3617, 107.5276, 42.1854,  -209.2381, 112.6598, 42.1854,  240, 127, 0
L -209.2381, 112.6598, 42.1854,  -197.1791, 110.3048, 42.1980,  240, 127, 0
L -197.1791, 110.3048, 42.1980,  -190.4693, 106.9791, 42.1869,  240, 127, 0
L -190.4693, 106.9791, 42.1869,  -186.3394, 111.1148, 42.1475,  240, 127, 0
L -186.3394, 111.1148, 42.1475,  -191.3738, 116.1491, 42.1482,  240, 127, 0
L -191.3738, 116.1491, 42.1482,  -146.9896, 160.5701, 40.9536,  240, 127, 0
L -146.9896, 160.5701, 40.9536,  -146.9382, 171.2375, 40.9789,  240, 127, 0
L -146.9382, 171.2375, 40.9789,  -153.4564, 171.2181, 40.9397,  240, 127, 0
L -153.4564, 171.2181, 40.9397,  -153.4259, 160.1939, 44.9395,  240, 127, 0
L -153.4259, 160.1939, 44.9395,  -184.4634, 160.1944, 42.1486,  240, 127, 0
L -152.1579, 192.5157, 42.1480,  -152.1305, 180.9818, 41.5190,  240, 127, 0
L -146.5703, 181.2440, 40.9789,  -152.1305, 180.9818, 40.9397,  240, 127, 0
L -146.5703, 181.2440, 42.1529,  -146.6474, 207.3993, 40.9789,  240, 127, 0
L -146.6474, 207.3993, 40.9789,  -153.4754, 207.2263, 40.9397,  240, 127, 0
L -153.4754, 207.2263, 40.9397,  -153.4205, 196.8031, 42.1482,  240, 127, 0
L -153.4205, 196.8031, 42.1482,  -184.4636, 196.8035, 42.1484,  240, 127, 0
L -184.4636, 196.8035, 42.1484,  -184.4632, 229.1246, 42.1478,  240, 127, 0
L -184.4632, 229.1246, 42.1478,  -152.1419, 229.1245, 42.1473,  240, 127, 0
L -152.1419, 229.1245, 42.1473,  -152.2192, 217.3372, 41.5190,  240, 127, 0
L -152.2192, 217.3372, 41.5190,  -146.8831, 217.4839, 40.9789,  240, 127, 0
L -146.8831, 217.4839, 40.9789,  -146.8342, 244.4724, 40.9789,  240, 127, 0
L -146.8342, 244.4724, 40.9789,  -153.4007, 244.2604, 40.9397,  240, 127, 0
L -153.4007, 244.2604, 40.9397,  -153.3726, 233.7023, 42.1482,  240, 127, 0
L -153.3726, 233.7023, 42.1482,  -184.4636, 233.7024, 42.1484,  240, 127, 0
L -184.4636, 233.7024, 42.1484,  -184.4634, 266.2350, 42.1480,  240, 127, 0
L -184.4634, 266.2350, 42.1480,  -152.1414, 266.2120, 42.1475,  240, 127, 0
L -152.1414, 266.2120, 42.1475,  -152.1728, 254.4439, 41.5190,  240, 127, 0
L -152.1728, 254.4439, 41.5190,  -146.2162, 254.3739, 40.9536,  240, 127, 0
L -146.2162, 254.3739, 40.9536,  -146.1997, 265.5760, 41.4189,  240, 127, 0
L -146.1997, 265.5760, 41.4189,  -135.3197, 265.5181, 40.9536,  240, 127, 0
L -135.3197, 265.5181, 40.9536,  -135.3230, 280.4155, 40.9382,  240, 127, 0
L -135.3230, 280.4155, 40.9382,  -154.1240, 280.2597, 41.9943,  240, 127, 0
L -154.1240, 280.2597, 41.9943,  -154.2126, 298.1438, 42.2900,  240, 127, 0
L -154.2126, 298.1438, 42.2900,  -166.3885, 298.1623, 42.5418,  240, 127, 0
L -166.3885, 298.1623, 42.5418,  -166.3326, 311.1330, 41.5135,  240, 127, 0
L -166.3326, 311.1330, 41.5135,  -204.9421, 310.9157, 44.4209,  240, 127, 0
L -204.9421, 310.9157, 44.4209,  -204.8014, 452.8000, 41.1100,  240, 127, 0
L -204.8014, 452.8000, 41.1100,  -90.7639, 452.9073, 42.2062,  240, 127, 0
